# old-contract-git-blob new-contract-git-blob reason
17ff04c6106719e22ddf0ae5997b7e46584a7242 5ae682d3d4fa64045888d4aa7da7cdf6272417bd ratified-adr-0066-progressive-voice-lifecycle
1edeaf7a9dda5e28b020b6b733fcf516796eb646 669ee1b68234bfa7062f5f4033a246d814a7ae3f ratified-ova-map-6-overlay-deal-nullable-pipeline-stage-id
ecf3ead002657e5a1ff0e84c7aa10dc71647a29d c5aabce4fb1ce0d473ff2dea86b33b7f1f6cb2c0 ratified-imap-lifecycle-unification
92a61d81b19b9e39ac860774ca193ab8af6d39da 3d10364cf5701968fed566b7b56b9e3ba162f8d9 ratified-consent-grant-equals-lent-passport
9ea4a77cf4d519b0777858c1eb3dc42bd2bcd2cf 5a75be923d31bef50a323324341a8ee05d6a9104 ratified-linkedin-matches-decided-in-the-approval-inbox
5a75be923d31bef50a323324341a8ee05d6a9104 70ae7b5c482ba7d31d22112122e7e6293a333238 ratified-personal-mail-exclusions-withdrawn
10e401e3ccf7362b1bff5d94106a8f50266484d5 60fc55ad777c6fcb0cd67b1c7f704efb96c7f783 ratified-adr-0079-company-brief-sections-replace-flat-sentences
dde93feff7e06d34341ddebb5f37130224614f19 6a2785db2c964b8dce7bfcdf4dd1d7810c7a0b8b ratified-adr-0091-response-bodies-drop-workspace-id
8bf9cd17345d7b7c9fbeca3641ab3e3dc84b6298 7c418cf6a6ce366949ae87ac3f0566f27a19a76f ratified-adr-0107-transport-is-not-the-interaction-kind
7c418cf6a6ce366949ae87ac3f0566f27a19a76f 634bbf0cedb75deb78c0307fe77ceaeb5755bd74 ratified-701-a-document-reading-names-the-reading-it-accepts
eb33e542118408d8d6c5233bb0d3b96dfd5683c6 e6817f5db19e96c521146052ed3f450be16cce4e ratified-adr-0111-attachment-virus-scan-retired
5ed81b5f887af15499116fbd06554231c8ed7876 49fb94a94fad158eb310c9b991d01045e2f90ce2 ratified-lead-status-ladder-working-becomes-contacted
1189c1fb19aaa48f2b617b60c4308cb05af7514f 697aaa62acbce3b3fc96a3bc740c542dd6ed24cb ratified-a-project-masks-an-anchor-company-its-reader-cannot-see
c2f615a69958f0c645c6907d8c44283497b1c9f8 f0618d3ff41aa3fd2949ed4cb7c6f2329e991d7e ratified-the-ai-activity-rail-reads-one-projection-not-agent-runs-only
65bc2ee9daa7f9ec038bf72970f12c8065a68cbc fced19dd57c43acf0e47d8033557436c17164aa7 ratified-deal-room-drops-the-shared-to-do-list
a019622d248461265b2df0e473e5e132842aa64d 049e5eaf3ce1b9eb6c906ab677864ab347085ff8 ratified-1520-custom-field-object-enum-is-the-engine-allowlist-activity-was-never-served
1f9fca14ce63500d4096127000981cbe3503db64 6d78949c129b52c7caf594410bb4249ae4e6f124 ratified-a-project-key-is-minted-by-the-server-not-chosen-by-a-caller
88b8e4c19de07fd7bd576b58752704c8713f7e08 77f4eb252830a8b0e07b0b1f5e6794a1ed3276c9 ratified-a-project-is-worked-by-several-companies-not-owned-by-one
ebba6a86f90624338680763bbae9cbeb0397637c 0d6f0de48c8ab32e50ffa70dde5befc602c91826 ratified-a-deal-room-is-live-from-creation-the-invitation-is-the-gate
0d6f0de48c8ab32e50ffa70dde5befc602c91826 59347057cece7cb424d587a1cd4925349ba70f2d ratified-a-buyer-does-not-confirm-a-document-version-the-reviewer-seat-collapses-into-comment
6f6398ca46583a8e1feec91e9d911064c03604f3 72d1e9c22c7ff1ff8f330691b7bf91b0e10b09dd ratified-one-written-deal-status-card-replaces-the-brief-health-and-next-move-trio
489e8594425c507f856b15cd2f11ab4383d9d68b 9b5734d1e30b4920cbef5cb88c5d9346fb799614 ratified-deal360-is-a-briefing-with-a-verdict-and-an-opening-line-not-a-status-line
5551feee814a0d97e7db1e6664470a88854839d1 d4ba516d106073353a764d37cd367cf7427076fc ratified-a-message-is-filed-by-its-project-key-the-ladder-never-guesses
e62948a0abb7c599c3280ac974d51c0bdeb1e014 c23d4316960d00c693f7c7aa39de4ff16d5dd6dc ratified-a-person-record-shows-one-section-per-data-provider-not-one-unnamed-card
a35057f55a688d0b19b9e0e295f54bafa5193517 5b2fdab6f36d98ba92f83b152962152b47cd611b ratified-consent-screen-grants-scopes-not-a-borrowed-passport
142f5d323c5e284fa67ae49affb69e616a212b4f 01e2dc08823384222d7416a2c96b8e2f8bc58af7 ratified-consent-screen-grants-scopes-not-a-borrowed-passport
6036c0c97a129dcaa77140e6cc347dfe243f893f cac6fe981f216f0e298f0eb6fd24eb818fb5aa70 ratified-one-oauth-app-resource-per-vendor-microsoft-joins-google
